code	country	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
SWE	Sweden	13	165	815	874	1795	3169	3616	3827	4288	3869	4136	3893	3710	4225	5828	7185	7188	7375	4394	2407	1662	1384	1560	1980	2062	1693	844	1027	1520	1732	2686	3360	4168	4749	7394	13761	22106	30894	30940	34834	35783	41186	47022	28928	41331	52092	34015	23680	19791	21105	20349	22755	26143	27652	27566	31745	35746
SWZ	Eswatini	0	0	1	0	8	0	3	10	34	52	55	39	36	45	39	164	141	118	209	357	418	413	564	422	617	444	321	309	231	195	174	111	130	105	82	70	72	104	112	201	89	219	591	1062	1344	1469	1556	1594	1336	515	307	276	238	171	61	49	35
SYC	Seychelles	0	0	2	5	1	2	1	0	0	0	0	0	0	0	0	0	0	9	61	19	8	6	0	12	1	5	4	0	3	2	2	3	2	1	4	0	5	2	3	10	11	3	15	3	80	223	188	337	153	318	388	436	264	387	194	597	226
SYR	Syria	0	0	0	0	5	11	9	13	4	2	3	4	19	52	3	45	28	58	82	56	102	131	153	345	468	550	485	476	402	259	273	291	344	360	326	369	419	466	541	561	605	721	1009	882	684	658	668	615	441	410	412	323	390	392	476	839	1116
TCA	Turks and Caicos Islands	0	0	0	0	4	2	3	3	0	1	0	0	0	0	0	0	0	4	29	26	4	17	22	56	128	85	107	108	43	27	13	14	1	2	3	2	4	13	26	2	8	13	20	55	65	85	85	165	215	195	215	159	71	78	23	90	35
TCD	Chad	0	0	0	1	2	6	2	22	13	71	205	152	174	111	77	12	10	7	6	3	15	26	21	6	10	30	26	26	49	66	28	37	77	74	69	49	60	48	42	30	59	29	116	119	183	341	345	282	210	126	149	172	179	188	127	122	91
TGO	Togo	0	1	0	15	9	16	35	8	12	27	30	145	75	60	54	43	31	54	61	34	64	79	105	88	84	145	115	87	78	104	77	104	95	114	138	144	152	168	178	117	105	170	175	159	128	249	340	364	405	395	387	445	583	670	432	886	837
THA	Thailand	7	8	32	329	834	822	451	215	174	59	38	21	15	37	27	30	13	15	23	31	30	38	30	36	28	14	21	27	28	34	23	62	51	50	57	48	53	37	48	67	109	123	698	1234	1553	2604	1756	1248	5480	4589	1034	918	628	354	452	956	944
TJK	Tajikistan	0	0	0	0	0	0	0	0	0	76	536	710	1416	1069	646	518	428	400	360	347	328	316	301	255	323	248	239	241	257	289	302	290	285	275	281	281	277	279	281	264	271	235	299	249	128	5	3	0	0	0	0	0	0	0	0	0	0
TLS	Timor-Leste	0	0	0	0	1	0	1	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	10	3	5	3	12	6	10	21	2	8	8	59	93	209
TTO	Trinidad and Tobago	0	0	2	47	25	29	9	2	1	1	0	0	0	1	0	0	6	3	4	3	4	10	26	102	222	433	715	585	763	860	459	403	328	238	222	189	146	239	247	306	121	113	110	130	58	82	126	92	80	70	30	34	29	27	37	70	115
TUN	Tunisia	0	1	17	42	218	275	132	179	75	70	23	5	11	28	11	7	62	12	18	59	103	95	109	126	345	715	834	1204	1859	2475	5282	6552	10315	9283	8257	11014	9730	9796	8132	7509	8011	7402	8758	11079	11749	15535	19717	18083	12154	8708	6328	5139	4972	4413	4229	4148	4298
TUR	Turkey	0	0	5	665	6732	16532	28233	30162	25444	16602	12740	10952	7619	7417	6115	7459	9816	9390	8727	7371	6736	6456	6696	7753	8495	8915	10032	11164	11407	11713	11618	10048	11017	11647	14106	15583	16372	19316	29750	137542	219546	1011916	194476	129088	98662	85083	63547	43663	46573	53885	55110	51980	61288	76066	96782	126682	186421
TWN	Taiwan	13	6	8	100	130	72	30	13	31	3	8	0	1	1	1	0	3	1	2	2	0	7	16	6	5	5	1	4	6	8	4	7	10	8	15	5	18	27	11	37	46	39	30	20	25	20	23	33	25	15	13	5	12	13	17	21	15
TZA	Tanzania	0	0	0	6	8	6	12	115	152	181	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGA	Uganda	0	0	0	1	29	18	5	3	20	13	28	111	75	215	180	101	69	85	79	86	49	41	73	91	167	732	681	692	1164	1314	1347	1298	1039	754	842	1198	1571	1723	1878	2277	2244	4883	3631	2861	2149	1842	531	959	489	288	198	180	136	117	92	107	116
UKR	Ukraine	0	1	2	44	309	869	1286	2595	3019	3286	3299	3148	2722	2624	3897	4076	5438	6317	5696	5313	5392	5984	7292	8925	10261	13542	14414	17215	18592	21490	23518	27595	34944	38751	45461	52013	65268	75995	89257	98984	94151	85854	74098	66780	52539	42687	47171	35609	30370	26966	28150	33318	43043	52887	58416	84099	97555
URY	Uruguay	0	0	6	129	168	97	101	37	79	56	50	31	31	57	24	2	12	65	31	31	58	130	104	57	99	87	49	99	111	124	94	124	146	233	306	317	317	516	607	947	1454	2215	3377	3661	4057	4699	6695	5298	4214	3631	3647	3704	5199	5648	7123	9790	15355
